column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
FGF16.13725.3.3,numeric,Fibroblast growth factor 16 (FGF16),13725-3,SL004334,Fibroblast growth factor 16,FGF-16,O43320,8823,FGF16,Human,Protein,PASS,765,0,0
CD80.13726.4.3,numeric,T-lymphocyte activation antigen CD80 (CD80),13726-4,SL003738,T-lymphocyte activation antigen CD80,B7,P33681,941,CD80,Human,Protein,PASS,605,0,0
SPOP.13727.44.3,numeric,Speckle-type POZ protein (SPOP),13727-44,SL020220,Speckle-type POZ protein,SPOP,O43791,8405,SPOP,Human,Protein,PASS,716,0,0
ERP29.13728.19.3,numeric,Endoplasmic reticulum resident protein 29 (ERP29),13728-19,SL003522,Endoplasmic reticulum resident protein 29,ERP29,P30040,10961,ERP29,Human,Protein,PASS,801,0,0
CTSC.13730.18.3,numeric,Dipeptidyl peptidase 1 (CTSC),13730-18,SL007280,Dipeptidyl peptidase 1,CATC,P53634,1075,CTSC,Human,Protein,PASS,808,0,0
C7.13731.14.3,numeric,Complement component C7 (C7),13731-14,SL000323,Complement component C7,C7,P10643,730,C7,Human,Protein,PASS,808,0,0
CTF1.13732.79.3,numeric,Cardiotrophin-1 (CTF1),13732-79,SL002783,Cardiotrophin-1,Cardiotrophin-1,Q16619,1489,CTF1,Human,Protein,PASS,797,0,0
IL12B.13733.5.3,numeric,Interleukin-12 subunit beta (IL12B),13733-5,SL004250,Interleukin-12 subunit beta,IL-12 p40,P29460,3593,IL12B,Human,Protein,PASS,707,0,0
IFNL1.13734.22.3,numeric,Interferon lambda-1 (IFNL1),13734-22,SL004348,Interferon lambda-1,IFN-lambda 1,Q8IU54,282618,IFNL1,Human,Protein,PASS,651,0,0
RAP1GAP.13735.1.3,numeric,Rap1 GTPase-activating protein 1 (RAP1GAP),13735-1,SL020221,Rap1 GTPase-activating protein 1,RPGP1,P47736,5909,RAP1GAP,Human,Protein,PASS,647,0,0
INHBA.13738.8.3,numeric,Inhibin beta A chain (INHBA),13738-8,SL001932,Inhibin beta A chain,Inhibin bA chain,P08476,3624,INHBA,Human,Protein,PASS,777,0,0
FLRT1.13739.3.3,numeric,Leucine-rich repeat transmembrane protein FLRT1 (FLRT1),13739-3,SL014071,Leucine-rich repeat transmembrane protein FLRT1,FLRT1,Q9NZU1,23769,FLRT1,Human,Protein,PASS,702,0,0
FRZB.13740.51.3,numeric,Secreted frizzled-related protein 3 (FRZB),13740-51,SL004650,Secreted frizzled-related protein 3,sFRP-3,Q92765,2487,FRZB,Human,Protein,PASS,795,0,0
IGFBP1.13741.36.3,numeric,Insulin-like growth factor-binding protein 1 (IGFBP1),13741-36,SL000462,Insulin-like growth factor-binding protein 1,IGFBP-1,P08833,3484,IGFBP1,Human,Protein,PASS,808,0,0
IL22.13742.66.3,numeric,Interleukin-22 (IL22),13742-66,SL004347,Interleukin-22,IL-22,Q9GZX6,50616,IL22,Human,Protein,PASS,769,0,0
CUL4B.13743.56.3,numeric,Cullin-4B (CUL4B),13743-56,SL020222,Cullin-4B,CUL4B,Q13620,8450,CUL4B,Human,Protein,PASS,753,0,0
IL3RA.13744.37.3,numeric,Interleukin-3 receptor subunit alpha (IL3RA),13744-37,SL005187,Interleukin-3 receptor subunit alpha,IL-3 Ra,P26951,3563,IL3RA,Human,Protein,PASS,804,0,0
PKD2.13745.10.3,numeric,Polycystin-2 (PKD2),13745-10,SL020155,Polycystin-2,PKD2,Q13563,5311,PKD2,Human,Protein,PASS,569,0,0
CA6.13747.9.3,numeric,Carbonic anhydrase 6 (CA6),13747-9,SL010288,Carbonic anhydrase 6,Carbonic anhydrase 6,P23280,765,CA6,Human,Protein,PASS,802,0,0
CCL8.13748.4.3,numeric,C-C motif chemokine 8 (CCL8),13748-4,SL000515,C-C motif chemokine 8,MCP-2,P80075,6355,CCL8,Human,Protein,PASS,682,0,0
MYZAP.13924.13.3,numeric,Myocardial zonula adherens protein (MYZAP),13924-13,SL018834,Myocardial zonula adherens protein,MYZAP,P0CAP1,100820829,MYZAP,Human,Protein,PASS,752,0,0
RMI1.13926.1.3,numeric,RecQ-mediated genome instability protein 1 (RMI1),13926-1,SL020268,RecQ-mediated genome instability protein 1,RMI1,Q9H9A7,80010,RMI1,Human,Protein,PASS,754,0,0
CROT.13929.27.3,numeric,Peroxisomal carnitine O-octanoyltransferase (CROT),13929-27,SL020289,Peroxisomal carnitine O-octanoyltransferase,OCTC,Q9UKG9,54677,CROT,Human,Protein,PASS,784,0,0
APOBEC3G.13930.3.3,numeric,DNA dC->dU-editing enzyme APOBEC-3G (APOBEC3G),13930-3,SL007678,DNA dC->dU-editing enzyme APOBEC-3G,ABC3G,Q9HC16,60489,APOBEC3G,Human,Protein,PASS,803,0,0
PSMD9.13931.22.3,numeric,26S proteasome non-ATPase regulatory subunit 9 (PSMD9),13931-22,SL012980,26S proteasome non-ATPase regulatory subunit 9,PSMD9,O00233,5715,PSMD9,Human,Protein,PASS,804,0,0
ARHGEF7.13932.45.3,numeric,Rho guanine nucleotide exchange factor 7 (ARHGEF7),13932-45,SL005746,Rho guanine nucleotide exchange factor 7,COOL-1,Q14155,8874,ARHGEF7,Human,Protein,PASS,776,0,0
NAB1.13933.276.3,numeric,NGFI-A-binding protein 1 (NAB1),13933-276,SL020257,NGFI-A-binding protein 1,NAB1,Q13506,4664,NAB1,Human,Protein,PASS,793,0,0
MCF2L.13934.3.3,numeric,Guanine nucleotide exchange factor DBS (MCF2L),13934-3,SL014593,Guanine nucleotide exchange factor DBS,MCF2L,O15068,23263,MCF2L,Human,Protein,PASS,726,0,0
PGK2.13936.24.3,numeric,Phosphoglycerate kinase 2 (PGK2),13936-24,SL020280,Phosphoglycerate kinase 2,PGK2,P07205,5232,PGK2,Human,Protein,PASS,576,0,0
CAND1.13937.75.3,numeric,Cullin-associated NEDD8-dissociated protein 1 (CAND1),13937-75,SL008246,Cullin-associated NEDD8-dissociated protein 1,CAND1,Q86VP6,55832,CAND1,Human,Protein,PASS,798,0,0
UGP2.13939.14.3,numeric,UTP--glucose-1-phosphate uridylyltransferase (UGP2),13939-14,SL006519,UTP--glucose-1-phosphate uridylyltransferase,UGPA1,Q16851,7360,UGP2,Human,Protein,PASS,703,0,0
IFI16.13940.19.3,numeric,Gamma-interferon-inducible protein 16 (IFI16),13940-19,SL006071,Gamma-interferon-inducible protein 16,IP16,Q16666,3428,IFI16,Human,Protein,PASS,792,0,0
FARS2.13941.82.3,numeric,"Phenylalanine--tRNA ligase, mitochondrial (FARS2)",13941-82,SL020259,"Phenylalanine--tRNA ligase, mitochondrial",SYFM,O95363,10667,FARS2,Human,Protein,PASS,761,0,0
SPSB1.13942.140.3,numeric,SPRY domain-containing SOCS box protein 1 (SPSB1),13942-140,SL020269,SPRY domain-containing SOCS box protein 1,SPSB1,Q96BD6,80176,SPSB1,Human,Protein,PASS,705,0,0
DPY30.13943.38.3,numeric,Protein dpy-30 homolog (DPY30),13943-38,SL020276,Protein dpy-30 homolog,DPY30,Q9C005,84661,DPY30,Human,Protein,PASS,805,0,0
SULT1A3.13944.3.3,numeric,Sulfotransferase 1A3 (SULT1A3),13944-3,SL000578,Sulfotransferase 1A3,SULT 1A3,P0DMM9,445329,SULT1A3,Human,Protein,PASS,805,0,0
DDX23.13946.8.3,numeric,Probable ATP-dependent RNA helicase DDX23 (DDX23),13946-8,SL020297,Probable ATP-dependent RNA helicase DDX23,DDX23,Q9BUQ8,9416,DDX23,Human,Protein,PASS,730,0,0
NUDT12.13947.371.3,numeric,Peroxisomal NADH pyrophosphatase NUDT12 (NUDT12),13947-371,SL020301,Peroxisomal NADH pyrophosphatase NUDT12,NUD12,Q9BQG2,83594,NUDT12,Human,Protein,PASS,775,0,0
GABBR2.13948.50.3,numeric,Gamma-aminobutyric acid type B receptor subunit 2 (GABBR2),13948-50,SL019207,Gamma-aminobutyric acid type B receptor subunit 2,GABR2,O75899,9568,GABBR2,Human,Protein,PASS,754,0,0
CERT1.13950.9.3,numeric,Collagen type IV alpha-3-binding protein (CERT1),13950-9,SL015375,Collagen type IV alpha-3-binding protein,C43BP,Q9Y5P4,10087,CERT1,Human,Protein,PASS,793,0,0
GNPNAT1.13954.9.3,numeric,Glucosamine 6-phosphate N-acetyltransferase (GNPNAT1),13954-9,SL020298,Glucosamine 6-phosphate N-acetyltransferase,GNA1,Q96EK6,64841,GNPNAT1,Human,Protein,PASS,805,0,0
DAPK1.13955.33.3,numeric,Death-associated protein kinase 1 (DAPK1),13955-33,SL007277,Death-associated protein kinase 1,DAPK1,P53355,1612,DAPK1,Human,Protein,PASS,716,0,0
RBM46.13958.5.3,numeric,Probable RNA-binding protein 46 (RBM46),13958-5,SL020270,Probable RNA-binding protein 46,RBM46,Q8TBY0,166863,RBM46,Human,Protein,PASS,588,0,0
LAP3.13959.7.3,numeric,Cytosol aminopeptidase (LAP3),13959-7,SL000499,Cytosol aminopeptidase,LAP,P28838,51056,LAP3,Human,Protein,PASS,809,0,0
AGAP3.13960.15.3,numeric,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 (AGAP3)",13960-15,SL020282,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",AGAP3,Q96P47,116988,AGAP3,Human,Protein,PASS,711,0,0
KIF3A.13961.18.3,numeric,Kinesin-like protein KIF3A (KIF3A),13961-18,SL020291,Kinesin-like protein KIF3A,KIF3A,Q9Y496,11127,KIF3A,Human,Protein,PASS,802,0,0
TOLLIP.13963.7.3,numeric,Toll-interacting protein (TOLLIP),13963-7,SL004521,Toll-interacting protein,tollip,Q9H0E2,54472,TOLLIP,Human,Protein,PASS,809,0,0
MYOM3.13966.30.3,numeric,Myomesin-3 (MYOM3),13966-30,SL008254,Myomesin-3,MYOM3,Q5VTT5,127294,MYOM3,Human,Protein,PASS,792,0,0
TXNRD1.13967.14.3,numeric,"Thioredoxin reductase 1, cytoplasmic (TXNRD1)",13967-14,SL005724,"Thioredoxin reductase 1, cytoplasmic",Thioredoxin reductase 1,Q16881,7296,TXNRD1,Human,Protein,PASS,802,0,0
HSD17B14.13972.4.3,numeric,17-beta-hydroxysteroid dehydrogenase 14 (HSD17B14),13972-4,SL020263,17-beta-hydroxysteroid dehydrogenase 14,DHB14,Q9BPX1,51171,HSD17B14,Human,Protein,PASS,722,0,0
TTL.13973.62.3,numeric,Tubulin--tyrosine ligase (TTL),13973-62,SL020271,Tubulin--tyrosine ligase,TTL,Q8NG68,150465,TTL,Human,Protein,PASS,775,0,0
PPFIA1.13975.56.3,numeric,Liprin-alpha-1 (PPFIA1),13975-56,SL020284,Liprin-alpha-1,LIPA1,Q13136,8500,PPFIA1,Human,Protein,PASS,788,0,0
ARHGEF1.13976.9.3,numeric,Rho guanine nucleotide exchange factor 1 (ARHGEF1),13976-9,SL015120,Rho guanine nucleotide exchange factor 1,ARHG1,Q92888,9138,ARHGEF1,Human,Protein,PASS,767,0,0
BARD1.13977.28.3,numeric,BRCA1-associated RING domain protein 1 (BARD1),13977-28,SL015168,BRCA1-associated RING domain protein 1,BARD1,Q99728,580,BARD1,Human,Protein,PASS,605,0,0
TBX3.13978.122.3,numeric,T-box transcription factor TBX3 (TBX3),13978-122,SL004696,T-box transcription factor TBX3,Tbx3,O15119,6926,TBX3,Human,Protein,PASS,566,0,0
SLC26A7.13979.3.3,numeric,Anion exchange transporter (SLC26A7),13979-3,SL020254,Anion exchange transporter,S26A7,Q8TE54,115111,SLC26A7,Human,Protein,PASS,721,0,0
RGS18.13982.33.3,numeric,Regulator of G-protein signaling 18 (RGS18),13982-33,SL016529,Regulator of G-protein signaling 18,RGS18,Q9NS28,64407,RGS18,Human,Protein,PASS,724,0,0
DDX25.13984.23.3,numeric,ATP-dependent RNA helicase DDX25 (DDX25),13984-23,SL020293,ATP-dependent RNA helicase DDX25,DDX25,Q9UHL0,29118,DDX25,Human,Protein,PASS,645,0,0
SMURF2.13985.12.3,numeric,E3 ubiquitin-protein ligase SMURF2 (SMURF2),13985-12,SL007669,E3 ubiquitin-protein ligase SMURF2,SMUF2,Q9HAU4,64750,SMURF2,Human,Protein,PASS,643,0,0
LANCL1.13986.6.3,numeric,LanC-like protein 1 (LANCL1),13986-6,SL010800,LanC-like protein 1,LANC1,O43813,10314,LANCL1,Human,Protein,PASS,796,0,0
NMRAL1.13988.67.3,numeric,NmrA-like family domain-containing protein 1 (NMRAL1),13988-67,SL020265,NmrA-like family domain-containing protein 1,NMRL1,Q9HBL8,57407,NMRAL1,Human,Protein,PASS,780,0,0
PC.13990.1.3,numeric,"Pyruvate carboxylase, mitochondrial (PC)",13990-1,SL003652,"Pyruvate carboxylase, mitochondrial",pyruvate carboxylase,P11498,5091,PC,Human,Protein,PASS,692,0,0
EIF4G3.13991.47.3,numeric,Eukaryotic translation initiation factor 4 gamma 3 (EIF4G3),13991-47,SL020285,Eukaryotic translation initiation factor 4 gamma 3,IF4G3,O43432,8672,EIF4G3,Human,Protein,PASS,752,0,0
NSF.13992.12.3,numeric,Vesicle-fusing ATPase (NSF),13992-12,SL007239,Vesicle-fusing ATPase,NSF,P46459,4905,NSF,Human,Protein,PASS,779,0,0
EPB41L1.13993.20.3,numeric,Band 4.1-like protein 1 (EPB41L1),13993-20,SL020300,Band 4.1-like protein 1,E41L1,Q9H4G0,2036,EPB41L1,Human,Protein,PASS,808,0,0
FBL.13994.1.3,numeric,rRNA 2'-O-methyltransferase fibrillarin (FBL),13994-1,SL020302,rRNA 2'-O-methyltransferase fibrillarin,FBRL,P22087,2091,FBL,Human,Protein,PASS,791,0,0
PPCDC.13996.16.3,numeric,Phosphopantothenoylcysteine decarboxylase (PPCDC),13996-16,SL020266,Phosphopantothenoylcysteine decarboxylase,COAC,Q96CD2,60490,PPCDC,Human,Protein,PASS,698,0,0
ADSS1.13998.26.3,numeric,Adenylosuccinate synthetase isozyme 1 (ADSS1),13998-26,SL020277,Adenylosuccinate synthetase isozyme 1,PURA1,Q8N142,122622,ADSS1,Human,Protein,PASS,762,0,0
DOCK9.14002.18.3,numeric,Dedicator of cytokinesis protein 9 (DOCK9),14002-18,SL020303,Dedicator of cytokinesis protein 9,DOCK9,Q9BZ29,23348,DOCK9,Human,Protein,PASS,587,0,0
CHD7.14005.2.3,numeric,Chromodomain-helicase-DNA-binding protein 7 (CHD7),14005-2,SL008319,Chromodomain-helicase-DNA-binding protein 7,CHD7,Q9P2D1,55636,CHD7,Human,Protein,PASS,581,0,0
GNMT.14006.36.3,numeric,Glycine N-methyltransferase (GNMT),14006-36,SL020278,Glycine N-methyltransferase,GNMT,Q14749,27232,GNMT,Human,Protein,PASS,753,0,0
PAPSS1.14007.22.3,numeric,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPSS1),14007-22,SL020287,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,PAPS1,O43252,9061,PAPSS1,Human,Protein,PASS,779,0,0
DCP1A.14008.22.3,numeric,mRNA-decapping enzyme 1A (DCP1A),14008-22,SL020295,mRNA-decapping enzyme 1A,DCP1A,Q9NPI6,55802,DCP1A,Human,Protein,PASS,672,0,0
TNFAIP3.14009.65.3,numeric,Tumor necrosis factor alpha-induced protein 3 (TNFAIP3),14009-65,SL005721,Tumor necrosis factor alpha-induced protein 3,TNFAIP3,P21580,7128,TNFAIP3,Human,Protein,PASS,771,0,0
S100A11.14011.17.3,numeric,Protein S100-A11 (S100A11),14011-17,SL004809,Protein S100-A11,S100A11,P31949,6282,S100A11,Human,Protein,PASS,783,0,0
DHX58.14012.17.3,numeric,Probable ATP-dependent RNA helicase DHX58 (DHX58),14012-17,SL007593,Probable ATP-dependent RNA helicase DHX58,LGP2,Q96C10,79132,DHX58,Human,Protein,PASS,708,0,0
TANK.14013.11.3,numeric,TRAF family member-associated NF-kappa-B activator (TANK),14013-11,SL015118,TRAF family member-associated NF-kappa-B activator,TANK,Q92844,10010,TANK,Human,Protein,PASS,779,0,0
EVPL.14019.73.3,numeric,Envoplakin (EVPL),14019-73,SL020305,Envoplakin,EVPL,Q92817,2125,EVPL,Human,Protein,PASS,713,0,0
MED4.14021.81.3,numeric,Mediator of RNA polymerase II transcription subunit 4 (MED4),14021-81,SL020316,Mediator of RNA polymerase II transcription subunit 4,MED4,Q9NPJ6,29079,MED4,Human,Protein,PASS,713,0,0
IL17B.14022.17.3,numeric,Interleukin-17B (IL17B),14022-17,SL004350,Interleukin-17B,IL-17B,Q9UHF5,27190,IL17B,Human,Protein,PASS,616,0,0
IBSP.14023.84.3,numeric,Bone sialoprotein 2 (IBSP),14023-84,SL004660,Bone sialoprotein 2,BSP,P21815,3381,IBSP,Human,Protein,PASS,786,0,0
EDA.14024.196.3,numeric,"Ectodysplasin-A, secreted form (EDA)",14024-196,SL004644,"Ectodysplasin-A, secreted form",EDA,Q92838,1896,EDA,Human,Protein,PASS,743,0,0
TNFRSF9.14025.18.3,numeric,Tumor necrosis factor receptor superfamily member 9 (TNFRSF9),14025-18,SL004126,Tumor necrosis factor receptor superfamily member 9,4-1BB,Q07011,3604,TNFRSF9,Human,Protein,PASS,576,0,0
IL17F.14026.24.3,numeric,Interleukin-17F (IL17F),14026-24,SL004352,Interleukin-17F,IL-17F,Q96PD4,112744,IL17F,Human,Protein,PASS,726,0,0
PIK3C2A.14028.22.3,numeric,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PIK3C2A),14028-22,SL020311,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,P3C2A,O00443,5286,PIK3C2A,Human,Protein,PASS,787,0,0
COPS2.14029.42.3,numeric,COP9 signalosome complex subunit 2 (COPS2),14029-42,SL010966,COP9 signalosome complex subunit 2,CSN2,P61201,9318,COPS2,Human,Protein,PASS,782,0,0
TNFSF4.14030.21.3,numeric,Tumor necrosis factor ligand superfamily member 4 (TNFSF4),14030-21,SL004649,Tumor necrosis factor ligand superfamily member 4,OX40 Ligand,P23510,7292,TNFSF4,Human,Protein,PASS,751,0,0
FGF7.14031.18.3,numeric,Fibroblast growth factor 7 (FGF7),14031-18,SL001691,Fibroblast growth factor 7,FGF7,P21781,2252,FGF7,Human,Protein,PASS,641,0,0
VEGFA.14032.2.3,numeric,"Vascular endothelial growth factor A, isoform 121 (VEGFA)",14032-2,SL003310,"Vascular endothelial growth factor A, isoform 121",VEGF121,P15692,7422,VEGFA,Human,Protein,PASS,743,0,0
TACSTD2.14034.22.3,numeric,Tumor-associated calcium signal transducer 2 (TACSTD2),14034-22,SL001890,Tumor-associated calcium signal transducer 2,GA733-1 protein,P09758,4070,TACSTD2,Human,Protein,PASS,614,0,0
TIAM1.14035.13.3,numeric,T-lymphoma invasion and metastasis-inducing protein 1 (TIAM1),14035-13,SL007386,T-lymphoma invasion and metastasis-inducing protein 1,TIAM1,Q13009,7074,TIAM1,Human,Protein,PASS,550,0,0
MPDZ.14036.116.3,numeric,Multiple PDZ domain protein (MPDZ),14036-116,SL020312,Multiple PDZ domain protein,MPDZ,O75970,8777,MPDZ,Human,Protein,PASS,474,0,0
RANBP3.14037.18.3,numeric,Ran-binding protein 3 (RANBP3),14037-18,SL013273,Ran-binding protein 3,RANB3,Q9H6Z4,8498,RANBP3,Human,Protein,PASS,769,0,0
CST7.14038.130.3,numeric,Cystatin-F (CST7),14038-130,SL007049,Cystatin-F,CYTF,O76096,8530,CST7,Human,Protein,PASS,810,0,0
KLK5.14039.33.3,numeric,Kallikrein-5 (KLK5),14039-33,SL003863,Kallikrein-5,kallikrein 5,Q9Y337,25818,KLK5,Human,Protein,PASS,628,0,0
GZMB.14041.13.3,numeric,Granzyme B (GZMB),14041-13,SL004068,Granzyme B,Granzyme B,P10144,3002,GZMB,Human,Protein,PASS,725,0,0
SFRP1.14042.11.3,numeric,Secreted frizzled-related protein 1 (SFRP1),14042-11,SL003770,Secreted frizzled-related protein 1,SARP-2,Q8N474,6422,SFRP1,Human,Protein,PASS,797,0,0
EEA1.14043.12.3,numeric,Early endosome antigen 1 (EEA1),14043-12,SL008204,Early endosome antigen 1,EEA1,Q15075,8411,EEA1,Human,Protein,PASS,764,0,0
NCOA2.14045.12.3,numeric,Nuclear receptor coactivator 2 (NCOA2),14045-12,SL020317,Nuclear receptor coactivator 2,NCOA2,Q15596,10499,NCOA2,Human,Protein,PASS,709,0,0
BDNF.14047.78.3,numeric,Brain-derived neurotrophic factor (BDNF),14047-78,SL003951,Brain-derived neurotrophic factor,BDNF,P23560,627,BDNF,Human,Protein,PASS,801,0,0
IL1RAP.14048.7.3,numeric,Interleukin-1 Receptor accessory protein (IL1RAP),14048-7,SL004588,Interleukin-1 Receptor accessory protein,IL-1 R AcP,Q9NPH3,3556,IL1RAP,Human,Protein,PASS,795,0,0
IL7.14049.17.3,numeric,Interleukin-7 (IL7),14049-17,SL000483,Interleukin-7,IL-7,P13232,3574,IL7,Human,Protein,PASS,681,0,0
FOXC2.14051.54.3,numeric,Forkhead box protein C2 (FOXC2),14051-54,SL007629,Forkhead box protein C2,FOXC2,Q99958,2303,FOXC2,Human,Protein,PASS,527,0,0
UNC13A.14052.26.3,numeric,Protein unc-13 homolog A (UNC13A),14052-26,SL009417,Protein unc-13 homolog A,UN13A,Q9UPW8,23025,UNC13A,Human,Protein,PASS,607,0,0
IL15RA.14054.17.3,numeric,Interleukin-15 receptor subunit alpha (IL15RA),14054-17,SL004151,Interleukin-15 receptor subunit alpha,IL-15 Ra,Q13261,3601,IL15RA,Human,Protein,PASS,805,0,0
CGA.14056.4.3,numeric,Glycoprotein hormones alpha chain (CGA),14056-4,SL013948,Glycoprotein hormones alpha chain,Glycoprotein hormones a-chain,P01215,1081,CGA,Human,Protein,PASS,733,0,0
TNFSF15.14057.68.3,numeric,Tumor necrosis factor ligand superfamily member 15 (TNFSF15),14057-68,SL004686,Tumor necrosis factor ligand superfamily member 15,TNFSF15,O95150,9966,TNFSF15,Human,Protein,PASS,781,0,0
TNFSF11.14061.48.3,numeric,Tumor necrosis factor ligand superfamily member 11 (TNFSF11),14061-48,SL002541,Tumor necrosis factor ligand superfamily member 11,sRANKL,O14788,8600,TNFSF11,Human,Protein,PASS,719,0,0
OSM.14063.17.3,numeric,Oncostatin-M (OSM),14063-17,SL000530,Oncostatin-M,OSM,P13725,5008,OSM,Human,Protein,PASS,690,0,0
PGLYRP1.14064.21.3,numeric,Peptidoglycan recognition protein 1 (PGLYRP1),14064-21,SL004515,Peptidoglycan recognition protein 1,PGRP-S,O75594,8993,PGLYRP1,Human,Protein,PASS,523,0,0
CD5.14065.11.3,numeric,T-cell surface glycoprotein CD5 (CD5),14065-11,SL007080,T-cell surface glycoprotein CD5,CD5,P06127,921,CD5,Human,Protein,PASS,570,0,0
MAGI2.14066.49.3,numeric,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 (MAGI2)",14066-49,SL020306,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",MAGI2,Q86UL8,9863,MAGI2,Human,Protein,PASS,660,0,0
PKP2.14067.6.3,numeric,Plakophilin-2 (PKP2),14067-6,SL008289,Plakophilin-2,PKP2,Q99959,5318,PKP2,Human,Protein,PASS,720,0,0
CCL25.14068.29.3,numeric,C-C motif chemokine 25 (CCL25),14068-29,SL003197,C-C motif chemokine 25,TECK,O15444,6370,CCL25,Human,Protein,PASS,791,0,0
CA4.14069.61.3,numeric,Carbonic anhydrase 4 (CA4),14069-61,SL010369,Carbonic anhydrase 4,Carbonic Anhydrase IV,P22748,762,CA4,Human,Protein,PASS,741,0,0
ITSN1.14070.56.3,numeric,Intersectin-1 (ITSN1),14070-56,SL018907,Intersectin-1,ITSN1,Q15811,6453,ITSN1,Human,Protein,PASS,752,0,0
TPT1.14072.9.3,numeric,Translationally-controlled tumor protein (TPT1),14072-9,SL005679,Translationally-controlled tumor protein,TCTP,P13693,7178,TPT1,Human,Protein,PASS,787,0,0
HPX.14073.31.3,numeric,Hemopexin (HPX),14073-31,SL000440,Hemopexin,Hemopexin,P02790,3263,HPX,Human,Protein,PASS,810,0,0
SHC2.14074.2.3,numeric,SHC-transforming protein 2 (SHC2),14074-2,SL020307,SHC-transforming protein 2,SHC2,P98077,25759,SHC2,Human,Protein,PASS,545,0,0
CST4.14076.74.3,numeric,Cystatin-S (CST4),14076-74,SL007888,Cystatin-S,Cystatin-S,P01036,1472,CST4,Human,Protein,PASS,757,0,0
FCN3.14077.6.3,numeric,Ficolin-3 (FCN3),14077-6,SL002086,Ficolin-3,Ficolin-3,O75636,8547,FCN3,Human,Protein,PASS,785,0,0
XCL1.14078.69.3,numeric,Lymphotactin (XCL1),14078-69,SL003186,Lymphotactin,Lymphotactin,P47992,6375,XCL1,Human,Protein,PASS,797,0,0
IL18R1.14079.14.3,numeric,Interleukin-18 receptor 1 (IL18R1),14079-14,SL004152,Interleukin-18 receptor 1,IL-18 Ra,Q13478,8809,IL18R1,Human,Protein,PASS,796,0,0
ULBP1.14081.5.3,numeric,NKG2D ligand 1 (ULBP1),14081-5,SL005227,NKG2D ligand 1,ULBP-1,Q9BZM6,80329,ULBP1,Human,Protein,PASS,679,0,0
TLN2.14082.56.3,numeric,Talin-2 (TLN2),14082-56,SL016540,Talin-2,TLN2,Q9Y4G6,83660,TLN2,Human,Protein,PASS,789,0,0
SEPHS1.14083.25.3,numeric,"Selenide, water dikinase 1 (SEPHS1)",14083-25,SL020314,"Selenide, water dikinase 1",SPS1,P49903,22929,SEPHS1,Human,Protein,PASS,809,0,0
X.14084.191.3,numeric,Fc_MOUSE (),14084-191,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,786,0,0
IL13.14085.28.3,numeric,Interleukin-13 (IL13),14085-28,SL001718,Interleukin-13,IL-13,P35225,3596,IL13,Human,Protein,PASS,739,0,0
SMPDL3A.14086.11.3,numeric,Acid sphingomyelinase-like phosphodiesterase 3a (SMPDL3A),14086-11,SL012754,Acid sphingomyelinase-like phosphodiesterase 3a,ASM3A,Q92484,10924,SMPDL3A,Human,Protein,PASS,755,0,0
IGFBP6.14088.38.3,numeric,Insulin-like growth factor-binding protein 6 (IGFBP6),14088-38,SL005172,Insulin-like growth factor-binding protein 6,IGFBP-6,P24592,3489,IGFBP6,Human,Protein,PASS,810,0,0
DEF6.14090.23.3,numeric,Differentially expressed in FDCP 6 homolog (DEF6),14090-23,SL020308,Differentially expressed in FDCP 6 homolog,DEFI6,Q9H4E7,50619,DEF6,Human,Protein,PASS,798,0,0
CBR3.14091.42.3,numeric,Carbonyl reductase [NADPH] 3 (CBR3),14091-42,SL005371,Carbonyl reductase [NADPH] 3,Carbonyl reductase 3,O75828,874,CBR3,Human,Protein,PASS,789,0,0
FLT3LG.14093.10.3,numeric,Fms-related tyrosine kinase 3 ligand (FLT3LG),14093-10,SL004343,Fms-related tyrosine kinase 3 ligand,Flt3 ligand,P49771,2323,FLT3LG,Human,Protein,PASS,717,0,0
HBEGF.14094.29.3,numeric,Heparin-binding EGF-like growth factor (HBEGF),14094-29,SL000138,Heparin-binding EGF-like growth factor,HB-EGF,Q99075,1839,HBEGF,Human,Protein,PASS,797,0,0
KLRK1.14095.1.3,numeric,NKG2-D type II integral membrane protein (KLRK1),14095-1,SL005204,NKG2-D type II integral membrane protein,NKG2D,P26718,100528032,KLRK1,Human,Protein,PASS,583,0,0
CHST15.14097.86.3,numeric,Carbohydrate sulfotransferase 15 (CHST15),14097-86,SL007502,Carbohydrate sulfotransferase 15,ST4S6,Q7LFX5,51363,CHST15,Human,Protein,PASS,765,0,0
